#{"t_start": 1746507355.086796, "env_id": "MergeEnv-v0"}
r,l,t
-11.534618,50,183.080006
0.542214,26,183.256694
-17.711658,50,183.561758
-7.499081,22,183.707602
0.494138,24,183.866725
-13.125733,50,184.168575
-10.352574,50,184.47358
-13.102252,50,184.776582
0.024595,26,184.948098
0.548036,25,185.122675
-5.468764,50,185.442246
-1.220361,33,185.659852
-5.207856,50,185.968935
-10.311968,50,186.273184
-14.838693,32,186.479593
-14.535947,50,186.786533
-6.539107,50,187.087533
-10.054166,50,187.393188
-17.673814,50,187.696577
0.368562,26,187.867594
-10.864896,25,188.030084
-6.834177,24,188.205122
0.668254,22,188.358593
-14.391128,50,188.661288
0.620823,24,188.819116
-11.804752,50,189.134525
0.366751,20,189.601667
-15.805765,24,189.76739
-13.245503,50,190.071758
-13.22538,50,190.376174
-12.895607,50,190.682018
0.338729,27,190.85603
0.569657,22,191.00231
-7.936274,50,191.37059
-21.473336,22,191.516904
-1.770941,24,191.674549
-18.282508,50,191.977957
0.409274,27,192.155626
-12.433956,50,192.457626
-6.756781,31,192.654466
-5.859418,23,192.805497
-11.830341,50,193.108711
0.057196,21,193.24931
-12.254447,50,193.552246
-11.658162,50,193.855347
-0.063794,30,194.047931
-10.546285,50,194.351387
0.388044,19,194.481131
-5.520386,28,194.660519
-27.822723,50,194.963456
0.157539,31,195.161024
-10.923524,50,195.463131
0.488746,20,195.599623
-16.425639,50,195.918119
-7.002948,24,196.085825
-15.246531,50,196.403478
0.290521,25,196.570415
0.101885,28,196.750757
-10.647286,50,197.05386
-10.867082,50,197.368473
-11.846956,50,197.670939
0.493539,20,197.807189
-0.605086,19,197.936702
-14.069155,50,198.611391
-12.068941,50,198.919864
-1.790276,31,199.117817
-11.990613,50,199.423357
-10.193279,50,199.733236
-9.986436,24,199.890528
-12.576579,50,200.194073
-10.908107,50,200.496714
0.67134,21,200.639178
-7.159786,50,200.942382
-11.168662,50,201.246408
0.287737,27,201.42026
0.618892,19,201.549588
0.466314,30,201.741848
0.236509,26,201.911131
-12.443672,50,202.215741
-2.928266,31,202.411958
-13.057472,50,202.713217
0.442478,27,203.217882
-10.93488,50,203.528728
-12.085734,50,203.83259
-11.49812,50,204.135705
-11.627686,50,204.439153
-11.819218,50,204.743642
-11.340389,50,205.046816
-0.392038,27,205.220649
-0.061855,27,205.406567
0.529791,28,205.600013
-11.683893,50,205.903944
-16.783669,31,206.101851
-22.359758,23,206.253971
0.166266,22,206.402188
0.722097,20,206.54614
-30.467745,23,206.702682
-1.600112,27,206.891027
0.303816,29,207.083708
0.385114,22,207.234255
0.413307,23,207.385361
0.431127,19,207.514217
-12.741159,50,207.816573
-11.283932,50,208.133294
-14.101543,50,208.450839
-7.547292,21,208.603034
-11.731674,50,208.904427
-12.979597,50,209.20782
-13.675923,50,209.511224
-9.724216,25,209.675428
-10.437959,50,209.978789
-11.169578,50,210.346598
-11.449085,50,210.651532
-11.339346,50,210.954019
-11.134114,50,211.259422
-12.934339,50,211.561493
-11.444407,50,211.863344
-10.663001,50,212.165546
0.569315,30,212.356288
-14.8056,27,212.530925
-1.19185,29,212.716833
0.490267,20,212.850949
0.539225,19,212.980157
-1.389295,19,213.109746
0.452466,25,213.273561
-4.55102,21,213.420401
-4.576535,30,213.612686
-12.836057,50,213.926629
-12.773949,50,214.231227
-7.281726,19,214.363249
0.580791,11,214.606963
0.279684,21,214.749791
0.196769,21,214.893084
0.207782,27,215.070416
0.456708,26,215.239601
0.378562,27,215.415662
0.167446,20,215.551119
0.560619,20,215.687653
-12.148535,50,215.995411
-12.093986,50,216.300887
-10.892276,50,216.944663
0.162317,23,217.098362
-7.536019,31,217.307849
0.551745,19,217.446214
0.35657,20,217.590421
-2.706997,21,217.736228
-12.283828,50,218.044024
0.58177,25,218.206997
0.526929,20,218.344031
-11.857559,50,218.67278
0.592418,22,218.827543
0.403209,24,218.985829
-9.440247,21,219.126947
