#{"t_start": 1746506379.11345, "env_id": "MergeEnv-v0"}
r,l,t
-7.772338,50,517.374889
-7.883105,50,518.006446
-7.839273,50,518.619971
-8.729699,50,519.232667
-7.810004,50,519.841558
-8.768653,50,520.447619
-7.789198,50,521.067707
-7.704784,50,521.67638
-8.697722,50,522.282781
-7.796501,50,522.885357
-8.727314,50,523.487386
-7.721587,50,524.109646
-7.777265,50,524.773333
-7.695186,50,525.377342
-8.7246,50,525.999023
-7.757162,50,526.607207
-7.707222,50,527.287546
-7.739896,50,527.937224
-13.768427,50,528.595103
-7.780831,50,529.201187
-7.720237,50,529.812453
-10.706972,50,530.431568
-7.726952,50,531.074978
-10.706685,50,531.681257
-8.828842,50,532.298722
-9.831773,50,532.905665
-19.726971,50,533.509468
-8.724471,50,534.126837
-11.697428,50,534.736897
-7.885993,50,535.397567
-7.715898,50,536.051566
-7.772636,50,536.760507
-7.833415,50,537.400285
-7.724095,50,538.053127
-7.700814,50,538.909793
-7.796469,50,539.609435
-7.774189,50,540.324303
-11.793152,50,540.994963
-7.878026,50,541.660422
-13.884103,50,542.302364
-7.726745,50,542.91614
-7.773807,50,543.543379
-7.720607,50,544.331419
-7.722345,50,544.982635
-9.84045,50,545.616771
-7.732268,50,546.461281
-7.870883,50,547.529651
-8.723057,50,548.167087
-7.840002,50,549.090167
-9.740306,50,549.807958
-7.868255,50,550.445385
-7.700126,50,551.121179
-7.777127,50,551.814359
-8.69806,50,552.451897
-10.755414,50,553.076504
-8.722069,50,553.70136
-8.758705,50,554.319436
-12.831357,50,554.938663
-9.725562,50,555.554003
-8.84848,50,556.231385
-9.774841,50,556.886387
-8.694841,50,557.516031
-7.763365,50,558.169829
-8.703281,50,558.800117
-7.695404,50,559.474325
-7.744882,50,560.094004
-14.774917,50,560.720232
-7.753606,50,561.341622
-9.715639,50,561.963688
-7.738393,50,562.609883
-9.729585,50,563.237956
-7.711855,50,563.851419
-7.720474,50,564.474355
-7.712153,50,565.089243
-7.751555,50,565.706277
-7.864213,50,566.325942
-7.796898,50,567.001541
-7.736605,50,567.764643
-7.830198,50,568.392917
-8.757031,50,569.0853
-7.775024,50,569.751755
-8.721548,50,570.399095
-7.725328,50,571.024531
-7.721992,50,571.646329
-8.764563,50,572.272431
-11.764089,50,572.890721
-7.796888,50,573.505087
-10.822875,50,574.118975
-13.721395,50,574.734598
-7.706816,50,575.344492
-7.747705,50,575.950399
-7.719536,50,576.573017
-11.738364,50,577.178323
-8.732398,50,577.817137
-9.721575,50,578.4707
-8.798023,50,579.103007
-7.866151,50,580.120588
-15.843707,50,580.761207
-10.772725,50,581.38577
-7.746981,50,582.014831
-7.780646,50,582.625819
-14.850104,50,583.241391
-13.748206,50,583.854512
-8.705848,50,584.477871
-7.742805,50,585.087582
-8.739432,50,585.690321
-7.802966,50,586.298791
-7.752204,50,586.906796
-9.82678,50,587.511791
-7.698428,50,588.119144
-8.722836,50,588.873311
-8.785022,50,589.545111
-8.781851,50,590.16658
-11.790092,50,590.798645
-7.710236,50,591.409463
-8.72211,50,592.047318
-9.704243,50,592.65091
-8.737636,50,593.25572
-7.80828,50,593.857626
-8.754148,50,594.452815
-7.705085,50,595.051915
-8.732133,50,595.658651
-7.756165,50,596.263314
-11.731616,50,596.872207
-9.729008,50,597.53006
-9.875602,50,598.16416
-7.701877,50,598.771546
-7.72065,50,599.382523
-8.776219,50,600.088527
-7.774862,50,600.708359
-13.753077,50,601.32627
-8.783192,50,601.925695
-9.774613,50,602.53013
-7.830512,50,603.136394
-9.722037,50,603.735982
-10.774651,50,604.335873
-10.842479,50,604.940473
-7.752303,50,605.537534
-9.86202,50,606.131918
-8.722509,50,606.731253
-8.781416,50,607.328597
-9.806855,50,607.995429
-9.751754,50,608.594354
-8.728909,50,609.19439
-8.763051,50,609.786298
-9.706494,50,610.453279
-7.819734,50,611.422041
-11.87828,50,612.051233
-8.785786,50,612.662556
-7.848977,50,613.261791
-8.828162,50,613.855917
-14.804546,50,614.455616
-10.695179,50,615.055413
-8.780519,50,615.650468
-9.706709,50,616.254357
-8.722372,50,616.855199
-9.724917,50,617.450099
-7.710107,50,618.050607
-7.755431,50,618.65042
-7.830592,50,619.247064
-8.721726,50,619.837589
-10.724883,50,620.448757
-7.856986,50,621.056599
-12.720659,50,621.71704
-7.812611,50,622.319385
-7.79382,50,622.915028
-7.721667,50,623.51483
-9.748252,50,624.110204
-8.705374,50,624.709657
-13.779309,50,625.320645
-12.698875,50,625.912487
-9.808606,50,626.51052
-9.726019,50,627.108125
-10.751764,50,627.794531
-8.763953,50,628.478113
-7.694649,50,629.077338
-7.696646,50,629.674186
-7.721004,50,630.278688
-9.707584,50,630.906236
-7.713128,50,631.508474
-7.77595,50,632.119261
-10.715344,50,632.762269
-7.772804,50,633.355257
-9.774689,50,633.961421
-7.723665,50,634.560732
-7.728082,50,635.154059
-7.697171,50,635.749322
-11.722496,50,636.352391
-9.732658,50,636.94718
-7.801884,50,637.536172
-8.711535,50,638.125904
-7.87664,50,638.720787
-14.717769,50,639.318745
-8.70434,50,639.912179
-7.837882,50,640.508314
-7.817474,50,641.149953
-7.997082,50,642.073821
-8.774143,50,642.686434
-9.727999,50,643.39096
-10.84749,50,644.03151
-12.775358,50,644.649517
-7.75185,50,645.262435
-7.728731,50,645.908318
-7.727459,50,646.552593
-7.824639,50,647.521679
-7.783422,50,648.236316
-9.758806,50,648.849137
