#{"t_start": 1746507861.963455, "env_id": "MergeEnv-v0"}
r,l,t
0.705279,23,474.971326
-1.005856,26,475.517845
-5.02723,24,475.986051
0.598597,25,476.450197
-10.450005,31,476.998039
-2.08042,23,477.413078
0.198449,25,477.861824
-0.06529,26,478.327015
-3.366551,27,478.804025
-3.938524,23,479.216017
-0.859673,21,479.601
0.140038,25,480.04923
0.231382,23,480.46455
-0.3155,30,481.007461
-0.582222,21,481.502465
0.277321,29,482.112628
-7.256139,32,482.678711
0.164385,21,483.150729
-2.758182,21,483.530934
-9.084259,25,483.978507
0.539092,14,484.486333
0.026828,24,484.902706
-3.334539,27,485.367352
-0.31711,27,485.858705
-0.019405,27,486.335136
0.099422,24,486.76277
-1.004575,23,487.171638
0.143703,25,487.609685
-1.059535,25,488.046867
-3.231679,29,488.559447
-1.812613,20,488.915175
0.79496,19,489.253793
0.127492,22,489.648799
0.249598,20,490.005411
0.523306,21,490.381016
-3.303753,30,490.907871
-12.790847,25,491.345964
-0.186923,28,491.914048
-6.346364,26,492.433174
-0.150612,30,492.961208
-5.089178,21,493.334504
0.293569,19,493.678748
-1.952533,20,494.034014
0.204237,29,494.535245
0.112749,31,495.059849
-4.019037,22,495.441705
-5.214618,31,495.973257
-4.914116,24,496.396233
0.613751,21,496.763041
0.619956,23,497.164242
-0.275084,32,497.704287
-8.098387,28,498.182882
0.142332,31,498.725714
-0.134977,24,499.136247
-5.93958,24,499.555056
-4.11543,24,499.971102
-0.167477,31,500.50106
-4.190069,31,501.105214
-8.172244,25,501.535504
-4.328214,28,502.026386
-5.14358,29,502.550903
0.720869,30,503.111554
0.227632,24,503.555744
0.14282,23,503.954425
-0.132985,30,504.47448
0.043891,25,504.905754
0.149035,26,505.349471
0.445896,21,505.715146
-0.340842,31,506.239648
-8.583026,20,506.593729
0.378569,20,506.94629
-2.223766,30,507.457166
-5.510922,31,507.983715
-0.021878,27,508.445878
-0.095024,28,508.918646
-0.241227,27,509.378022
-0.952984,20,509.73114
0.249833,28,510.209427
-0.094078,24,510.626452
0.09889,30,511.138881
0.363919,25,511.563348
0.628452,20,511.910238
-5.301233,30,512.520807
-0.225309,31,513.087522
0.109699,20,513.439189
-1.000482,23,513.849849
0.002913,29,514.430491
-10.289882,28,514.916224
0.002586,28,515.404568
-9.334537,29,515.901948
-6.009214,23,516.303686
-0.165815,29,516.794426
-3.905727,21,517.157901
0.014413,26,517.603248
0.44343,30,518.117688
0.042156,28,518.598631
-0.120737,24,519.014525
-12.199614,31,519.545319
-0.844349,20,519.894619
0.036693,26,520.340781
-11.431493,29,520.840634
0.482523,27,521.303544
-0.005179,28,521.779335
-1.931483,22,522.290268
0.606003,21,522.692837
-22.678624,33,523.243999
-6.087744,30,523.758232
0.643317,19,524.099882
-3.946622,27,524.611114
-0.052021,21,525.009749
-0.5689,19,525.352159
0.219872,25,525.791691
0.807101,21,526.17924
0.192091,24,526.602278
0.721539,26,527.057127
-2.429526,32,527.598881
-8.758462,21,527.965661
-2.563239,20,528.31631
-6.954068,19,528.88675
0.047459,32,529.430112
-1.951166,24,529.847141
0.008547,27,530.311837
-3.486077,22,530.695392
0.782728,21,531.062942
-3.183744,27,531.527156
0.482176,27,531.995365
0.109161,31,532.571645
-3.973773,28,533.050654
0.035594,30,533.561865
0.237707,23,533.958767
-1.976443,26,534.404904
-4.800826,27,534.867858
-0.842477,25,535.312757
0.197205,26,535.790391
-0.612275,22,536.183649
0.611085,23,536.58393
-0.296107,32,537.13038
0.230991,28,537.611733
-7.181661,31,538.144956
-7.178701,24,538.647813
-7.213356,32,539.191746
-0.259291,30,539.707307
-2.110198,32,540.248248
-3.939396,26,540.700964
-5.150913,30,541.217029
0.465241,25,541.651075
0.121384,22,542.034228
0.01321,22,542.500015
-7.938804,21,542.927805
0.189907,22,543.311064
0.375082,23,543.712672
-0.231898,31,544.243746
0.098794,23,544.651774
-4.035559,22,545.03825
-2.487606,32,545.583788
-1.824887,23,545.987419
-6.49325,27,546.493687
-4.274691,26,546.971563
-2.977611,21,547.344057
-5.461523,33,547.912311
-7.597726,21,548.281063
0.256396,23,548.697832
-2.727818,20,549.055122
-6.880028,27,549.532601
-2.231704,29,550.036253
-3.722717,24,550.457131
-2.275096,28,550.958446
-2.857215,21,551.327661
0.711405,26,551.77683
-10.22383,23,552.175857
0.081585,26,552.667844
0.053178,25,553.098344
-3.181609,22,553.48834
-8.630832,22,553.871791
-5.247767,31,554.402283
0.292234,26,554.855276
-4.148148,27,555.31888
0.281075,20,555.679787
-0.034592,29,556.179537
-9.389477,31,556.712798
-5.927243,22,557.118416
-15.20414,20,557.629868
0.742902,19,557.971813
0.357665,23,558.390388
-3.289711,31,558.930846
-8.124585,29,559.430787
0.202197,23,559.839452
0.060563,30,560.356585
0.227305,24,560.777225
0.252761,28,561.259625
0.13484,22,561.646724
-0.528299,22,562.036375
-3.748372,26,562.516299
0.09112,23,562.940255
0.267063,26,563.393097
0.291257,26,563.845429
-1.307859,30,564.361308
0.239213,30,564.874704
-12.3471,27,565.448312
-0.078834,29,565.946717
0.1079,27,566.417721
0.448415,23,566.838879
-0.067825,29,567.38507
-1.842337,30,567.910784
0.184743,31,568.503741
-2.050739,27,568.989138
-3.994699,21,569.362005
0.665424,26,569.826312
-0.03204,31,570.359208
0.168381,21,570.733756
-1.985777,23,571.145987
-9.820744,27,571.615418
0.129669,26,572.073815
0.069704,20,572.509783
0.665073,26,573.026886
0.14105,22,573.636751
-9.065164,24,574.05304
0.110121,29,574.643831
0.466767,19,575.063705
-0.06045,28,575.555916
-0.023852,24,575.986556
-0.097267,30,576.505029
0.012472,28,577.023849
-2.877968,22,577.417452
-3.487819,33,577.996928
0.05106,29,578.554338
-4.396073,31,579.149533
-1.915764,20,579.571252
-3.087514,32,580.141276
0.028067,29,580.659614
-6.39864,33,581.251583
-5.175401,25,581.691943
-7.18542,30,582.225782
0.484195,23,582.654089
-1.918928,24,583.10647
0.078065,27,583.585686
-0.640224,22,583.982785
0.342018,24,584.40686
-6.022322,25,584.848613
0.26222,23,585.258395
0.699196,22,585.77124
-0.063943,26,586.223194
-1.11459,26,586.681116
0.722109,19,587.04078
-9.085664,30,587.564195
-0.745212,20,587.925387
-3.878944,30,588.444324
0.365992,24,588.865541
-0.870376,20,589.227092
0.197507,21,589.633987
